GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
8869	0.68596	0.04370178	0.26	-2.01694	-0.523407	156.97	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
26136	0.68941	0.04457247	0.265	2.008667	0.531991	182.32	TES	testin LIM domain protein
102724197	0.68941	0.04427843	0.292	-2.011445	-0.587604	101.63	LOC102724197	inactive glutathione hydrolase 2
9518	0.69131	0.0450213	0.316	2.004455	0.632957	920.79	GDF15	growth differentiation factor 15
3337	0.69493	0.04558514	0.661	-1.999215	-1.321488	17.78	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1
7276	0.69981	0.04623591	0.178	-1.993233	-0.35473	359075.05	TTR	transthyretin
1829	0.70287	0.04742097	0.248	-1.982521	-0.491931	192.49	DSG2	desmoglein 2
3383	0.70287	0.04743304	0.351	1.982413	0.695177	224.03	ICAM1	intercellular adhesion molecule 1
51126	0.70287	0.04717347	0.44	1.984739	0.873037	70.11	NAA20	N-alpha-acetyltransferase 20, NatB catalytic subunit
7386	0.71121	0.0483314	0.2	-1.974443	-0.394797	510.08	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1
6351	0.71444	0.04888801	0.869	1.969567	1.711682	241.83	CCL4	C-C motif chemokine ligand 4
10286	0.72004	0.04961133	0.202	1.9633	0.397414	514.23	BCAS2	BCAS2 pre-mRNA processing factor
823	0.72415	0.05023592	0.24	-1.95795	-0.470153	167.68	CAPN1	calpain 1
7784	0.72956	0.05095567	1.225	-1.951853	-2.390084	13.16	ZP3	zona pellucida glycoprotein 3
64123	0.73165	0.05144654	0.893	1.947736	1.739901	27.76	ADGRL4	adhesion G protein-coupled receptor L4
5286	0.73296	0.05188469	0.189	1.944089	0.366705	497.24	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
1401	0.73842	0.0530872	0.268	-1.934211	-0.519283	1747.67	CRP	C-reactive protein
3133	0.73842	0.05366543	0.167	1.929527	0.32227	1203.86	HLA-E	major histocompatibility complex, class I, E
56654	0.73842	0.0536031	0.299	1.93003	0.57641	115.94	NPDC1	neural proliferation, differentiation and control 1
6038	0.73842	0.05349871	0.19	-1.930873	-0.366204	5252.18	RNASE4	ribonuclease A family member 4
6697	0.74001	0.05435972	0.311	-1.923959	-0.59822	101.87	SPR	sepiapterin reductase
29083	0.74001	0.05447963	0.335	1.923003	0.64373	71.55	GTPBP8	GTP binding protein 8 (putative)
23325	0.74096	0.05489887	0.177	1.919676	0.340055	889.43	WASHC4	WASH complex subunit 4
10180	0.74501	0.05559522	0.21	1.914195	0.40292	391.61	RBM6	RNA binding motif protein 6
91227	0.74501	0.05590247	0.285	-1.911795	-0.544479	106.91	GGTLC2	gamma-glutamyltransferase light chain 2
11188	0.75606	0.0570879	0.214	1.902637	0.40629	408.48	NISCH	nischarin
5054	0.75676	0.05821257	0.184	1.894094	0.349204	1500.41	SERPINE1	serpin family E member 1
2184	0.75676	0.05783918	0.284	-1.896915	-0.538242	972.18	FAH	fumarylacetoacetate hydrolase
351	0.75676	0.05811455	0.248	1.894833	0.470213	1994.19	APP	amyloid beta precursor protein
26227	0.75754	0.06178346	0.26	-1.867847	-0.485628	267.33	PHGDH	phosphoglycerate dehydrogenase
2213	0.75754	0.0618427	0.921	-1.867422	-1.719689	11.26	FCGR2B	Fc gamma receptor IIb
129607	0.75754	0.06149565	0.475	-1.869915	-0.888173	35.12	CMPK2	cytidine/uridine monophosphate kinase 2
9941	0.75754	0.0602755	0.283	1.878773	0.531608	142.83	EXOG	exo/endonuclease G
7358	0.75754	0.06043128	0.174	1.877634	0.326181	5686.76	UGDH	UDP-glucose 6-dehydrogenase
8358	0.75754	0.06184691	0.507	-1.867392	-0.947576	47.66	H3C2	H3 clustered histone 2
23245	0.75754	0.05913038	0.981	-1.887223	-1.851209	11.42	ASTN2	astrotactin 2
5702	0.75754	0.06003248	0.214	-1.880555	-0.403314	298.47	PSMC3	proteasome 26S subunit, ATPase 3
5836	0.75754	0.06002206	0.19	-1.880632	-0.358243	638.49	PYGL	glycogen phosphorylase L
54757	0.75754	0.06058644	0.2	-1.876502	-0.374957	420.81	FAM20A	FAM20A golgi associated secretory pathway pseudokinase
9702	0.76612	0.06290949	0.265	1.859831	0.492328	136.41	CEP57	centrosomal protein 57
1020	0.76734	0.06344554	0.259	-1.856056	-0.480795	162.35	CDK5	cyclin dependent kinase 5
50813	0.76734	0.06393378	0.603	-1.852641	-1.116706	20.55	COPS7A	COP9 signalosome subunit 7A
708	0.76734	0.06409551	0.221	-1.851515	-0.409378	1121.81	C1QBP	complement C1q binding protein
1263	0.78165	0.07837763	1.105	1.760178	1.944434	7.16	PLK3	polo like kinase 3
22823	0.78165	0.06766339	0.224	1.827242	0.409611	228.14	MTF2	metal response element binding transcription factor 2
2946	0.78165	0.07483861	0.364	1.781452	0.647599	107.79	GSTM2	glutathione S-transferase mu 2
3158	0.78165	0.07823969	0.207	-1.760992	-0.365215	18676.87	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2
10962	0.78165	0.076575	0.487	1.770914	0.862081	39.7	MLLT11	MLLT11 transcription factor 7 cofactor
6284	0.78165	0.06620949	0.23	-1.837003	-0.421883	300.7	S100A13	S100 calcium binding protein A13
8804	0.78165	0.06728277	0.17	-1.82978	-0.311072	1237.94	CREG1	cellular repressor of E1A stimulated genes 1
142	0.78165	0.07863114	0.987	1.758684	1.73665	8.34	PARP1	poly(ADP-ribose) polymerase 1
3030	0.78165	0.07301692	0.18	-1.792725	-0.321936	962.64	HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
4133	0.78165	0.06999505	1.041	1.811943	1.887005	18.06	MAP2	microtubule associated protein 2
868	0.78165	0.06903894	0.535	-1.818165	-0.971918	34.02	CBLB	Cbl proto-oncogene B
4638	0.78165	0.07418386	0.313	1.785478	0.558678	180.11	MYLK	myosin light chain kinase
622	0.78165	0.0743644	0.269	-1.784365	-0.480816	466.42	BDH1	3-hydroxybutyrate dehydrogenase 1
3093	0.78165	0.0728366	0.174	1.793853	0.311407	1413.94	UBE2K	ubiquitin conjugating enzyme E2 K
9481	0.78165	0.07114387	0.331	1.804558	0.597195	173.18	SLC25A27	solute carrier family 25 member 27
90523	0.78165	0.07601698	0.395	-1.774279	-0.7016	108.99	MLIP	muscular LMNA interacting protein
26054	0.78165	0.07686449	0.223	1.769176	0.394979	468.76	SENP6	SUMO specific peptidase 6
10135	0.78165	0.06942428	0.179	1.815649	0.324599	6554.03	NAMPT	nicotinamide phosphoribosyltransferase
1581	0.78165	0.07442798	0.218	-1.783973	-0.388729	534.72	CYP7A1	cytochrome P450 family 7 subfamily A member 1
3717	0.78165	0.07074698	0.857	1.807098	1.548843	15.81	JAK2	Janus kinase 2
1612	0.78165	0.07043139	0.266	1.809126	0.481109	310.4	DAPK1	death associated protein kinase 1
3934	0.78165	0.06849235	0.549	1.821754	1.001046	34.6	LCN2	lipocalin 2
10599	0.78165	0.07893977	0.167	1.756871	0.292901	6333.08	SLCO1B1	solute carrier organic anion transporter family member 1B1
3855	0.78165	0.078086	0.361	-1.761901	-0.636477	98.12	KRT7	keratin 7
89910	0.78165	0.07273705	0.253	-1.794477	-0.453139	189.24	UBE3B	ubiquitin protein ligase E3B
55608	0.78165	0.07839384	0.182	1.760082	0.320671	686.04	ANKRD10	ankyrin repeat domain 10
1965	0.78165	0.07674681	0.205	1.769882	0.362723	943.86	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha
3320	0.78165	0.06768872	0.187	1.827073	0.340879	4134.38	HSP90AA1	heat shock protein 90 alpha family class A member 1
51031	0.78165	0.07408714	0.384	-1.786075	-0.686325	68.84	GLOD4	glyoxalase domain containing 4
6603	0.78165	0.07370929	0.23	-1.788414	-0.411456	327.08	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2
2627	0.78165	0.07237842	0.226	1.79673	0.406819	300.85	GATA6	GATA binding protein 6
6597	0.78165	0.06823714	0.227	1.823438	0.414546	240.02	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
7311	0.78165	0.07537295	0.146	-1.778188	-0.259435	4450.64	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1
10110	0.78165	0.07762248	0.276	1.764651	0.486202	188.25	SGK2	serum/glucocorticoid regulated kinase 2
2679	0.78165	0.06911024	0.279	-1.817698	-0.506571	108.63	GGT3P	gamma-glutamyltransferase 3 pseudogene
1312	0.78165	0.06752226	0.18	-1.828182	-0.328532	842	COMT	catechol-O-methyltransferase
2033	0.78165	0.07525619	0.192	1.7789	0.341692	440.51	EP300	E1A binding protein p300
5710	0.78422	0.07994549	0.315	-1.751002	-0.551206	237.2	PSMD4	proteasome 26S subunit ubiquitin receptor, non-ATPase 4
9221	0.78422	0.07961692	0.279	1.752913	0.489868	153.14	NOLC1	nucleolar and coiled-body phosphoprotein 1
120425	0.78422	0.08030907	0.627	-1.748896	-1.096828	28.18	JAML	junction adhesion molecule like
728441	0.78445	0.08070363	0.282	-1.746618	-0.493243	107.59	GGT2P	gamma-glutamyltransferase 2, pseudogene
10747	0.7868	0.08131676	0.163	-1.743096	-0.283587	1602.46	MASP2	MBL associated serine protease 2
10318	0.78793	0.08180472	0.285	1.740309	0.495139	407.46	TNIP1	TNFAIP3 interacting protein 1
8346	0.7933	0.08273687	0.251	-1.735022	-0.435827	156.2	H2BC10	H2B clustered histone 10
9056	0.7984	0.08364512	0.574	-1.729917	-0.993684	38.05	SLC7A7	solute carrier family 7 member 7
5876	0.79972	0.08900764	0.19	1.700656	0.323913	1887.03	RABGGTB	Rab geranylgeranyltransferase subunit beta
3310	0.79972	0.08775147	0.698	1.70738	1.19221	32.98	HSPA6	heat shock protein family A (Hsp70) member 6
3311	0.79972	0.08775147	0.698	1.70738	1.19221	32.98	HSPA7	heat shock protein family A (Hsp70) member 7 (pseudogene)
9214	0.79972	0.08820698	0.586	-1.704933	-0.999537	85.36	FCMR	Fc mu receptor
55256	0.79972	0.09623797	0.217	-1.663372	-0.361461	2614.56	ADI1	acireductone dioxygenase 1
6509	0.79972	0.08854587	0.386	-1.703119	-0.658173	76.84	SLC1A4	solute carrier family 1 member 4
10438	0.79972	0.08494418	0.308	-1.722692	-0.530671	109.71	C1D	C1D nuclear receptor corepressor
55818	0.79972	0.08906813	0.326	1.700334	0.553842	73.53	KDM3A	lysine demethylase 3A
26064	0.79972	0.09226138	0.372	-1.683588	-0.625798	55.66	RAI14	retinoic acid induced 14
3074	0.79972	0.08691503	0.158	-1.7119	-0.271131	4086.37	HEXB	hexosaminidase subunit beta
26762	0.79972	0.09623336	0.273	1.663395	0.453816	268.3	HAVCR1	hepatitis A virus cellular receptor 1
387103	0.79972	0.09480387	0.304	-1.670584	-0.50708	119.53	CENPW	centromere protein W
4850	0.79972	0.09453489	0.201	1.671946	0.336705	381.53	CNOT4	CCR4-NOT transcription complex subunit 4
4609	0.79972	0.09622862	0.314	1.663419	0.523093	542.63	MYC	MYC proto-oncogene, bHLH transcription factor
1316	0.79972	0.08895592	0.29	1.700931	0.493509	717.35	KLF6	KLF transcription factor 6
1500	0.79972	0.09294102	0.403	1.680084	0.677574	140.2	CTNND1	catenin delta 1
3606	0.79972	0.08558506	0.381	1.719161	0.654155	73.21	IL18	interleukin 18
9971	0.79972	0.09390246	0.178	1.675162	0.298254	1170.53	NR1H4	nuclear receptor subfamily 1 group H member 4
23077	0.79972	0.09245073	0.316	1.682609	0.531544	126.4	MYCBP2	MYC binding protein 2
54957	0.79972	0.09201765	0.187	1.684849	0.314872	448.57	TXNL4B	thioredoxin like 4B
6155	0.79972	0.09098464	0.163	-1.690226	-0.276284	764.91	RPL27	ribosomal protein L27
5889	0.79972	0.0884096	0.575	1.703847	0.979942	24.99	RAD51C	RAD51 paralog C
148254	0.79972	0.09450432	0.286	-1.672101	-0.478911	114.24	ZNF555	zinc finger protein 555
55620	0.79972	0.09142021	0.181	-1.687953	-0.305728	808.53	STAP2	signal transducing adaptor family member 2
60493	0.79972	0.0869217	0.391	1.711864	0.66926	65.7	FASTKD5	FAST kinase domains 5
9837	0.79972	0.09476593	1.094	-1.670776	-1.827358	10.25	GINS1	GINS complex subunit 1
3005	0.79972	0.09550686	0.212	-1.667038	-0.352698	620.76	H1-0	H1.0 linker histone
11230	0.79972	0.09451978	0.312	1.672023	0.521541	120.5	PRAF2	PRA1 domain family member 2
29978	0.79972	0.08859653	0.251	1.702848	0.42759	370.82	UBQLN2	ubiquilin 2
10857	0.79972	0.09616609	0.246	-1.663732	-0.409076	1940.89	PGRMC1	progesterone receptor membrane component 1
4694	0.79972	0.0919596	0.138	-1.68515	-0.232011	2146.84	NDUFA1	NADH:ubiquinone oxidoreductase subunit A1
9131	0.79972	0.08996434	0.174	-1.695586	-0.294623	1118.6	AIFM1	apoptosis inducing factor mitochondria associated 1
4541	0.79972	0.09170899	0.212	-1.686451	-0.358293	4404.02	ND6	NADH dehydrogenase subunit 6
8856	0.8008	0.09674634	0.174	1.660836	0.288963	532.98	NR1I2	nuclear receptor subfamily 1 group I member 2
8743	0.80122	0.09717448	0.287	-1.658709	-0.476105	300.44	TNFSF10	TNF superfamily member 10
3123	0.80227	0.09843812	0.559	1.652473	0.92446	39.47	HLA-DRB1	major histocompatibility complex, class II, DR beta 1
847	0.80227	0.09816786	0.147	-1.653801	-0.243144	14673.77	CAT	catalase
3895	0.80227	0.09770031	0.179	1.656106	0.295889	776.01	KTN1	kinectin 1
