GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
3484	1.13e-02	1.64e-04	0.374	-3.769068	-1.408151	1563.61	IGFBP1	insulin like growth factor binding protein 1
5447	1.13e-02	1.55e-04	0.223	-3.782745	-0.843317	744.72	POR	cytochrome p450 oxidoreductase
27284	1.83e-02	2.80e-04	0.205	-3.633265	-0.745567	984.87	SULT1B1	sulfotransferase family 1B member 1
1581	2.00e-02	3.40e-04	0.356	3.582815	1.274146	325.74	CYP7A1	cytochrome P450 family 7 subfamily A member 1
38	2.00e-02	3.32e-04	0.172	-3.589253	-0.616845	3045.32	ACAT1	acetyl-CoA acetyltransferase 1
5054	2.34e-02	4.19e-04	0.341	-3.527789	-1.201555	2758.81	SERPINE1	serpin family E member 1
834	3.16e-02	5.92e-04	0.21	3.435198	0.721738	432.26	CASP1	caspase 1
1277	3.22e-02	6.30e-04	1.277	-3.418473	-4.364815	406.29	COL1A1	collagen type I alpha 1 chain
2108	3.33e-02	6.79e-04	0.146	-3.397779	-0.496814	7012.99	ETFA	electron transfer flavoprotein subunit alpha
51	3.89e-02	8.28e-04	0.203	-3.343285	-0.677615	2923.95	ACOX1	acyl-CoA oxidase 1
2263	4.12e-02	9.12e-04	0.199	-3.3163	-0.660866	921.62	FGFR2	fibroblast growth factor receptor 2
7263	4.71e-02	1.08e-03	0.161	-3.268091	-0.526665	4703.53	TST	thiosulfate sulfurtransferase
7184	4.74e-02	1.13e-03	0.152	-3.255874	-0.494907	6189.28	HSP90B1	heat shock protein 90 beta family member 1
366	4.79e-02	1.20e-03	0.201	3.238368	0.650553	669.13	AQP9	aquaporin 9
6348	4.79e-02	1.22e-03	0.432	3.233177	1.398345	404.14	CCL3	C-C motif chemokine ligand 3
1829	4.85e-02	1.28e-03	0.244	-3.220331	-0.785611	216.73	DSG2	desmoglein 2
2919	9.37e-02	2.55e-03	0.172	3.017222	0.517587	2294.07	CXCL1	C-X-C motif chemokine ligand 1
4153	1.04e-01	2.93e-03	0.244	-2.975402	-0.726205	337.99	MBL2	mannose binding lectin 2
1401	1.09e-01	3.15e-03	0.281	-2.952697	-0.829285	1983.38	CRP	C-reactive protein
84833	1.35e-01	4.03e-03	0.177	2.875937	0.50818	609.35	ATP5MK	ATP synthase membrane subunit k
10130	1.74e-01	5.48e-03	0.153	-2.777552	-0.424973	3522.4	PDIA6	protein disulfide isomerase family A member 6
2805	1.74e-01	5.44e-03	0.216	-2.779973	-0.599903	1016.65	GOT1	glutamic-oxaloacetic transaminase 1
4925	2.05e-01	6.62e-03	0.233	-2.715542	-0.633677	221.05	NUCB2	nucleobindin 2
1429	2.08e-01	6.90e-03	0.202	2.701596	0.54689	1042.39	CRYZ	crystallin zeta
2330	2.15e-01	7.31e-03	0.269	2.682482	0.72141	606.12	FMO5	flavin containing dimethylaniline monoxygenase 5
27242	2.28e-01	8.15e-03	0.339	-2.645715	-0.896329	400.11	TNFRSF21	TNF receptor superfamily member 21
4233	2.28e-01	8.17e-03	0.208	-2.645157	-0.5508	616.64	MET	MET proto-oncogene, receptor tyrosine kinase
10110	2.59e-01	9.48e-03	0.268	-2.594291	-0.69599	285.53	SGK2	serum/glucocorticoid regulated kinase 2
4893	2.67e-01	1.00e-02	0.357	2.575732	0.918929	145.57	NRAS	NRAS proto-oncogene, GTPase
26227	2.92e-01	1.13e-02	0.274	-2.533526	-0.69396	289.75	PHGDH	phosphoglycerate dehydrogenase
1196	2.92e-01	1.24e-02	0.208	2.499592	0.520537	280.85	CLK2	CDC like kinase 2
200734	2.92e-01	1.18e-02	0.239	-2.517542	-0.601499	274.34	SPRED2	sprouty related EVH1 domain containing 2
821	2.92e-01	1.21e-02	0.157	-2.508922	-0.394222	1590.09	CANX	calnexin
8737	2.92e-01	1.23e-02	0.207	2.503061	0.51766	325.18	RIPK1	receptor interacting serine/threonine kinase 1
1548	2.92e-01	1.15e-02	0.258	2.528421	0.65339	4839.91	CYP2A6	cytochrome P450 family 2 subfamily A member 6
54840	3.09e-01	1.36e-02	0.21	2.46705	0.517331	357.31	APTX	aprataxin
9971	3.09e-01	1.37e-02	0.213	2.466005	0.524372	1088.32	NR1H4	nuclear receptor subfamily 1 group H member 4
23386	3.31e-01	1.49e-02	0.253	2.433633	0.616836	159.54	NUDCD3	NudC domain containing 3
1717	3.31e-01	1.52e-02	0.323	-2.427555	-0.784167	176.25	DHCR7	7-dehydrocholesterol reductase
1891	3.32e-01	1.55e-02	0.245	-2.419928	-0.592891	853.42	ECH1	enoyl-CoA hydratase 1
23530	3.38e-01	1.61e-02	0.182	-2.406428	-0.437175	2059.03	NNT	nicotinamide nucleotide transhydrogenase
221785	3.40e-01	1.65e-02	0.292	2.396791	0.698998	3554.16	ZSCAN25	zinc finger and SCAN domain containing 25
10013	3.40e-01	1.68e-02	0.188	2.390959	0.450544	818.12	HDAC6	histone deacetylase 6
2109	3.41e-01	1.71e-02	0.177	-2.384063	-0.42309	1423.82	ETFB	electron transfer flavoprotein subunit beta
1536	3.42e-01	1.75e-02	0.412	2.376806	0.979146	307.98	CYBB	cytochrome b-245 beta chain
8809	3.49e-01	1.84e-02	0.232	-2.356742	-0.546033	158.49	IL18R1	interleukin 18 receptor 1
847	3.49e-01	1.83e-02	0.18	-2.358657	-0.424091	15638.22	CAT	catalase
7168	3.69e-01	1.98e-02	0.276	2.330799	0.64233	446.36	TPM1	tropomyosin 1
217	3.73e-01	2.03e-02	0.215	-2.32069	-0.498869	8193.92	ALDH2	aldehyde dehydrogenase 2 family member
1503	3.97e-01	2.26e-02	0.206	2.279352	0.469998	523.59	CTPS1	CTP synthase 1
10261	3.97e-01	2.20e-02	0.312	2.290461	0.71399	1187.48	IGSF6	immunoglobulin superfamily member 6
2627	3.97e-01	2.24e-02	0.229	2.283954	0.52261	289.25	GATA6	GATA binding protein 6
9970	4.06e-01	2.36e-02	0.27	2.263446	0.61139	461.22	NR1I3	nuclear receptor subfamily 1 group I member 3
211	4.06e-01	2.44e-02	0.17	-2.250202	-0.381692	1239.75	ALAS1	5'-aminolevulinate synthase 1
26762	4.06e-01	2.45e-02	0.871	-2.248703	-1.958006	753.46	HAVCR1	hepatitis A virus cellular receptor 1
857	4.06e-01	2.45e-02	0.373	-2.248967	-0.839178	358.61	CAV1	caveolin 1
3028	4.18e-01	2.56e-02	0.241	-2.231682	-0.538862	214.81	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10
5423	4.21e-01	2.65e-02	0.251	2.218887	0.556814	247.51	POLB	DNA polymerase beta
8777	4.21e-01	2.65e-02	0.214	2.219012	0.47587	323.47	MPDZ	multiple PDZ domain crumbs cell polarity complex component
8284	4.51e-01	2.88e-02	0.238	2.186545	0.52136	179.93	KDM5D	lysine demethylase 5D
9689	4.66e-01	3.05e-02	0.191	-2.162987	-0.413209	5429.86	BZW1	basic leucine zipper and W2 domains 1
10276	4.66e-01	3.03e-02	0.183	2.165554	0.397239	384.21	NET1	neuroepithelial cell transforming 1
6654	4.80e-01	3.23e-02	0.269	2.140915	0.576078	146.64	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1
9112	4.80e-01	3.20e-02	0.231	2.144022	0.494424	177.34	MTA1	metastasis associated 1
7133	4.97e-01	3.79e-02	0.248	-2.075969	-0.514716	328.97	TNFRSF1B	TNF receptor superfamily member 1B
54576	4.97e-01	4.14e-02	0.142	-2.039135	-0.289883	2900.87	UGT1A8	UDP glucuronosyltransferase family 1 member A8
54575	4.97e-01	4.14e-02	0.142	-2.039135	-0.289883	2900.87	UGT1A10	UDP glucuronosyltransferase family 1 member A10
54658	4.97e-01	3.86e-02	0.141	-2.068762	-0.292398	2931.07	UGT1A1	UDP glucuronosyltransferase family 1 member A1
11188	4.97e-01	4.08e-02	0.21	2.04576	0.429486	403.2	NISCH	nischarin
57406	4.97e-01	3.57e-02	0.208	-2.100266	-0.436836	369.46	ABHD6	abhydrolase domain containing 6, acylglycerol lipase
64332	4.97e-01	3.75e-02	0.27	2.08049	0.561688	459.76	NFKBIZ	NFKB inhibitor zeta
6443	4.97e-01	4.08e-02	0.247	-2.045698	-0.50484	175.76	SGCB	sarcoglycan beta
124	4.97e-01	3.56e-02	0.221	2.100922	0.465163	17866.03	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide
57819	4.97e-01	3.78e-02	0.238	-2.077529	-0.493596	236.39	LSM2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated
64928	4.97e-01	4.15e-02	0.206	-2.038926	-0.420395	576.32	MRPL14	mitochondrial ribosomal protein L14
50484	4.97e-01	3.72e-02	0.247	2.08347	0.514086	470.65	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B
1612	4.97e-01	3.67e-02	0.28	2.089413	0.584665	298.74	DAPK1	death associated protein kinase 1
1861	4.97e-01	3.47e-02	0.205	-2.111529	-0.433162	375.74	TOR1A	torsin family 1 member A
10525	4.97e-01	4.04e-02	0.227	-2.049352	-0.464313	374.53	HYOU1	hypoxia up-regulated 1
3479	4.97e-01	3.75e-02	0.253	2.080254	0.527115	259.44	IGF1	insulin like growth factor 1
29950	4.97e-01	3.91e-02	0.33	-2.062747	-0.680282	222.49	SERTAD1	SERTA domain containing 1
5817	4.97e-01	3.99e-02	0.199	2.054926	0.409183	739.72	PVR	PVR cell adhesion molecule
4541	4.97e-01	3.75e-02	0.236	-2.080238	-0.491132	4621.98	ND6	NADH dehydrogenase subunit 6
23585	4.99e-01	4.31e-02	0.31	2.022315	0.626366	146.4	TMEM50A	transmembrane protein 50A
8743	4.99e-01	4.29e-02	0.354	2.024526	0.715997	201.45	TNFSF10	TNF superfamily member 10
2908	4.99e-01	4.46e-02	0.183	2.008642	0.368438	456.93	NR3C1	nuclear receptor subfamily 3 group C member 1
10864	4.99e-01	4.45e-02	0.202	2.009539	0.405832	2380.52	SLC22A7	solute carrier family 22 member 7
6810	4.99e-01	4.38e-02	0.179	-2.016466	-0.361947	558.7	STX4	syntaxin 4
101927559	4.99e-01	4.42e-02	0.211	2.011828	0.424594	470.6	CEBPB-AS1	CEBPB antisense RNA 1
1051	4.99e-01	4.42e-02	0.211	2.011828	0.424594	470.6	CEBPB	CCAAT enhancer binding protein beta
54659	5.11e-01	4.61e-02	0.142	-1.99452	-0.2826	2977.74	UGT1A3	UDP glucuronosyltransferase family 1 member A3
25932	5.12e-01	4.68e-02	0.164	1.987955	0.326063	1915.31	CLIC4	chloride intracellular channel 4
54657	5.12e-01	4.71e-02	0.142	-1.985125	-0.281299	2955.68	UGT1A4	UDP glucuronosyltransferase family 1 member A4
3122	5.12e-01	4.83e-02	0.336	1.975065	0.664596	1114.28	HLA-DRA	major histocompatibility complex, class II, DR alpha
3939	5.12e-01	4.83e-02	0.166	-1.974431	-0.328157	3285.52	LDHA	lactate dehydrogenase A
2194	5.12e-01	4.82e-02	0.204	-1.975346	-0.402524	4344.15	FASN	fatty acid synthase
54579	5.19e-01	4.94e-02	0.142	-1.964817	-0.278372	2921.19	UGT1A5	UDP glucuronosyltransferase family 1 member A5
10599	5.21e-01	5.06e-02	0.179	1.955136	0.350621	6184.22	SLCO1B1	solute carrier organic anion transporter family member 1B1
7494	5.21e-01	5.02e-02	0.163	1.957961	0.319901	1134.93	XBP1	X-box binding protein 1
3566	5.27e-01	5.20e-02	0.325	-1.943196	-0.630901	144.35	IL4R	interleukin 4 receptor
811	5.27e-01	5.20e-02	0.168	-1.94298	-0.326234	7416.01	CALR	calreticulin
374	5.35e-01	5.34e-02	0.998	-1.932026	-1.927967	164.54	AREG	amphiregulin
2939	5.35e-01	5.41e-02	0.289	1.925659	0.556673	2558.02	GSTA2	glutathione S-transferase alpha 2
4495	5.35e-01	5.41e-02	0.215	-1.926165	-0.41388	248926.83	MT1G	metallothionein 1G
57016	5.37e-01	5.48e-02	0.324	-1.920117	-0.621442	6784.61	AKR1B10	aldo-keto reductase family 1 member B10
9481	5.41e-01	5.57e-02	0.365	1.913144	0.698024	166.92	SLC25A27	solute carrier family 25 member 27
6464	5.57e-01	5.95e-02	0.315	-1.884621	-0.594522	542.72	SHC1	SHC adaptor protein 1
54577	5.57e-01	5.97e-02	0.14	-1.882835	-0.263841	2941.75	UGT1A7	UDP glucuronosyltransferase family 1 member A7
5603	5.57e-01	5.95e-02	0.173	-1.884225	-0.32649	503.23	MAPK13	mitogen-activated protein kinase 13
427	5.57e-01	5.95e-02	0.237	1.884323	0.446897	816.49	ASAH1	N-acylsphingosine amidohydrolase 1
1558	5.57e-01	5.78e-02	0.229	-1.896979	-0.434323	9671.29	CYP2C8	cytochrome P450 family 2 subfamily C member 8
55256	5.68e-01	6.19e-02	0.233	1.866863	0.43419	1978.7	ADI1	acireductone dioxygenase 1
51768	5.68e-01	6.18e-02	0.184	1.867385	0.344198	697.62	TM7SF3	transmembrane 7 superfamily member 3
718	5.71e-01	6.27e-02	0.169	-1.861168	-0.314052	15517.76	C3	complement C3
5565	5.83e-01	6.47e-02	0.263	1.847658	0.485949	155.61	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2
405	5.83e-01	6.84e-02	0.181	1.822232	0.3306	829.75	ARNT	aryl hydrocarbon receptor nuclear translocator
50486	5.83e-01	6.57e-02	0.242	-1.840679	-0.445401	525.64	G0S2	G0/G1 switch 2
54578	5.83e-01	6.76e-02	0.142	-1.827779	-0.259156	3004.34	UGT1A6	UDP glucuronosyltransferase family 1 member A6
10135	5.83e-01	6.85e-02	0.209	1.821847	0.381196	6411.3	NAMPT	nicotinamide phosphoribosyltransferase
6591	5.83e-01	6.84e-02	0.401	-1.82255	-0.73009	149.89	SNAI2	snail family transcriptional repressor 2
9650	5.83e-01	6.52e-02	0.169	-1.843564	-0.31192	588.28	MTFR1	mitochondrial fission regulator 1
1649	5.83e-01	6.84e-02	0.267	1.822242	0.487285	228.5	DDIT3	DNA damage inducible transcript 3
8655	5.83e-01	6.65e-02	0.169	-1.834991	-0.309971	2226	DYNLL1	dynein light chain LC8-type 1
54625	5.89e-01	6.97e-02	0.28	1.814103	0.508643	342.94	PARP14	poly(ADP-ribose) polymerase family member 14
4502	6.03e-01	7.19e-02	0.225	-1.799764	-0.404678	19167.21	MT2A	metallothionein 2A
831	6.20e-01	7.44e-02	0.221	1.784309	0.393617	310.05	CAST	calpastatin
3329	6.20e-01	7.62e-02	0.18	-1.773391	-0.319932	2737.04	HSPD1	heat shock protein family D (Hsp60) member 1
2247	6.20e-01	7.54e-02	0.269	1.77817	0.478883	163.09	FGF2	fibroblast growth factor 2
23325	6.20e-01	7.65e-02	0.166	1.771359	0.293402	897.96	WASHC4	WASH complex subunit 4
4927	6.20e-01	7.56e-02	0.278	-1.777089	-0.493954	225.56	NUP88	nucleoporin 88
79174	6.23e-01	7.75e-02	0.195	-1.76556	-0.344658	487.63	CRELD2	cysteine rich with EGF like domains 2
51373	6.31e-01	7.95e-02	0.192	-1.753581	-0.33643	332.18	MRPS17	mitochondrial ribosomal protein S17
2776	6.31e-01	8.11e-02	0.234	-1.744154	-0.40871	274.73	GNAQ	G protein subunit alpha q
84191	6.31e-01	8.01e-02	0.234	1.750287	0.410078	582.06	CIAO2A	cytosolic iron-sulfur assembly component 2A
1938	6.31e-01	8.06e-02	0.149	-1.747103	-0.260584	9228.1	EEF2	eukaryotic translation elongation factor 2
7001	6.31e-01	8.08e-02	0.149	-1.745841	-0.260915	2940.97	PRDX2	peroxiredoxin 2
125	6.61e-01	8.61e-02	0.238	1.716537	0.407975	47805.78	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
3396	6.61e-01	8.56e-02	0.239	-1.719294	-0.411699	274.34	MRPL58	mitochondrial ribosomal protein L58
5096	6.69e-01	8.82e-02	0.215	-1.704763	-0.365803	242.69	PCCB	propionyl-CoA carboxylase subunit beta
8824	6.69e-01	8.88e-02	0.236	-1.701709	-0.400787	505.35	CES2	carboxylesterase 2
6347	6.69e-01	8.84e-02	0.309	1.703869	0.527011	269.65	CCL2	C-C motif chemokine ligand 2
10818	6.70e-01	8.95e-02	0.2	1.697783	0.338712	529.03	FRS2	fibroblast growth factor receptor substrate 2
3309	6.74e-01	9.06e-02	0.178	-1.692032	-0.301328	1853.98	HSPA5	heat shock protein family A (Hsp70) member 5
5270	6.75e-01	9.25e-02	0.799	-1.682222	-1.3437	708.95	SERPINE2	serpin family E member 2
643155	6.75e-01	9.57e-02	0.231	-1.66598	-0.384102	355.74	SMIM15	small integral membrane protein 15
2966	6.75e-01	9.34e-02	0.175	1.677475	0.293632	976.58	GTF2H2	general transcription factor IIH subunit 2
199	6.75e-01	9.64e-02	0.257	1.662358	0.426611	308.66	AIF1	allograft inflammatory factor 1
3127	6.75e-01	9.37e-02	0.371	1.676209	0.621543	921.85	HLA-DRB5	major histocompatibility complex, class II, DR beta 5
10165	6.75e-01	9.47e-02	0.159	-1.670965	-0.265086	798.7	SLC25A13	solute carrier family 25 member 13
25805	6.75e-01	9.65e-02	0.228	-1.662167	-0.379698	589.96	BAMBI	BMP and activin membrane bound inhibitor
112694756	6.75e-01	9.47e-02	0.227	-1.671361	-0.378842	1412.69	LOC112694756	uncharaterized LOC112694756
226	6.75e-01	9.47e-02	0.227	-1.671361	-0.378842	1412.69	ALDOA	aldolase, fructose-bisphosphate A
2064	6.75e-01	9.64e-02	0.195	1.662672	0.323743	390.2	ERBB2	erb-b2 receptor tyrosine kinase 2
6128	6.84e-01	9.89e-02	0.17	-1.650251	-0.280255	1056.94	RPL6	ribosomal protein L6
8894	6.84e-01	9.88e-02	0.218	-1.650704	-0.360404	614.29	EIF2S2	eukaryotic translation initiation factor 2 subunit beta
570	6.89e-01	1.00e-01	0.205	1.643365	0.336608	22243.06	BAAT	bile acid-CoA:amino acid N-acyltransferase
6580	6.98e-01	1.02e-01	0.28	1.634587	0.457616	779.63	SLC22A1	solute carrier family 22 member 1
51253	6.98e-01	1.03e-01	0.181	-1.631729	-0.295951	721.33	MRPL37	mitochondrial ribosomal protein L37
84233	7.14e-01	1.06e-01	0.282	1.614815	0.454752	173.4	TMEM126A	transmembrane protein 126A
1050	7.14e-01	1.06e-01	0.192	-1.614524	-0.310145	3256.45	CEBPA	CCAAT enhancer binding protein alpha
10641	7.19e-01	1.08e-01	0.244	1.605162	0.391424	202.51	NPRL2	NPR2 like, GATOR1 complex subunit
4783	7.19e-01	1.09e-01	0.304	1.603286	0.487423	219.97	NFIL3	nuclear factor, interleukin 3 regulated
55847	7.19e-01	1.09e-01	0.275	1.603586	0.440658	171.77	CISD1	CDGSH iron sulfur domain 1
6184	7.33e-01	1.12e-01	0.149	-1.590599	-0.237134	2596.15	RPN1	ribophorin I
3693	7.35e-01	1.13e-01	0.256	-1.583918	-0.406244	406.77	ITGB5	integrin subunit beta 5
3949	7.35e-01	1.13e-01	0.249	-1.584038	-0.394353	545.47	LDLR	low density lipoprotein receptor
2289	7.37e-01	1.15e-01	0.177	-1.57707	-0.279591	785.22	FKBP5	FKBP prolyl isomerase 5
6351	7.37e-01	1.15e-01	0.866	1.577962	1.36678	256.14	CCL4	C-C motif chemokine ligand 4
5162	7.43e-01	1.16e-01	0.167	-1.570125	-0.262486	1853.16	PDHB	pyruvate dehydrogenase E1 subunit beta
8803	7.43e-01	1.17e-01	0.185	-1.5676	-0.290229	363.6	SUCLA2	succinate-CoA ligase ADP-forming subunit beta
3109	7.47e-01	1.18e-01	0.384	1.561989	0.599554	316.37	HLA-DMB	major histocompatibility complex, class II, DM beta
6038	7.59e-01	1.21e-01	0.205	-1.551134	-0.317611	5121.61	RNASE4	ribonuclease A family member 4
978	7.63e-01	1.22e-01	0.209	-1.545837	-0.32285	505.44	CDA	cytidine deaminase
1975	7.69e-01	1.24e-01	0.204	-1.536315	-0.313625	971.42	EIF4B	eukaryotic translation initiation factor 4B
10921	7.69e-01	1.24e-01	0.206	1.537267	0.317316	394.46	RNPS1	RNA binding protein with serine rich domain 1
4599	7.69e-01	1.25e-01	0.395	1.534016	0.605546	151.78	MX1	MX dynamin like GTPase 1
8574	7.73e-01	1.27e-01	0.241	-1.527481	-0.368515	203.96	AKR7A2	aldo-keto reductase family 7 member A2
55233	7.73e-01	1.27e-01	0.192	1.525843	0.292386	541.92	MOB1A	MOB kinase activator 1A
5698	7.82e-01	1.29e-01	0.276	1.517639	0.419152	537.18	PSMB9	proteasome 20S subunit beta 9
5243	7.84e-01	1.31e-01	0.251	-1.511097	-0.378608	556.77	ABCB1	ATP binding cassette subfamily B member 1
5175	7.84e-01	1.31e-01	0.314	1.511416	0.474453	362.13	PECAM1	platelet and endothelial cell adhesion molecule 1
5627	7.88e-01	1.33e-01	0.193	-1.50074	-0.289493	2734.17	PROS1	protein S
4361	7.88e-01	1.33e-01	0.191	1.500469	0.286963	340.87	MRE11	MRE11 homolog, double strand break repair nuclease
6554	7.88e-01	1.33e-01	0.317	1.503139	0.476066	430.13	SLC10A1	solute carrier family 10 member 1
2773	8.01e-01	1.47e-01	0.303	1.451323	0.439629	184.65	GNAI3	G protein subunit alpha i3
9940	8.01e-01	1.46e-01	0.29	-1.455485	-0.422144	619.94	DLEC1	DLEC1 cilia and flagella associated protein
30	8.01e-01	1.46e-01	0.29	-1.455485	-0.422144	619.94	ACAA1	acetyl-CoA acyltransferase 1
10180	8.01e-01	1.42e-01	0.2	1.467269	0.293957	402.8	RBM6	RNA binding motif protein 6
151636	8.01e-01	1.39e-01	0.238	1.479579	0.352075	310.15	DTX3L	deltex E3 ubiquitin ligase 3L
5437	8.01e-01	1.44e-01	0.211	1.460446	0.30884	694.09	POLR2H	RNA polymerase II, I and III subunit H
1843	8.01e-01	1.38e-01	0.353	1.483998	0.523319	2174.99	DUSP1	dual specificity phosphatase 1
85236	8.01e-01	1.40e-01	0.259	1.47688	0.382286	346.58	H2BC12	H2B clustered histone 12
4191	8.01e-01	1.41e-01	0.142	-1.473137	-0.209074	2421.54	MDH2	malate dehydrogenase 2
2936	8.01e-01	1.40e-01	0.173	-1.477021	-0.256071	2537.85	GSR	glutathione-disulfide reductase
2356	8.01e-01	1.48e-01	0.186	-1.446617	-0.269534	708.33	FPGS	folylpolyglutamate synthase
10376	8.01e-01	1.40e-01	0.244	1.475934	0.359523	227.51	TUBA1B	tubulin alpha 1b
4499	8.01e-01	1.47e-01	0.153	-1.450552	-0.222451	2379.97	MT1M	metallothionein 1M
51647	8.01e-01	1.48e-01	0.196	-1.448232	-0.284553	1520.53	CIAO2B	cytosolic iron-sulfur assembly component 2B
708	8.01e-01	1.43e-01	0.235	-1.466088	-0.344078	1087.26	C1QBP	complement C1q binding protein
22809	8.01e-01	1.44e-01	0.192	-1.460827	-0.280485	3228.09	ATF5	activating transcription factor 5
100616483	8.01e-01	1.46e-01	0.192	-1.455182	-0.279749	3056.72	MIR4751	microRNA 4751
10587	8.01e-01	1.37e-01	0.192	-1.486531	-0.284967	474.45	TXNRD2	thioredoxin reductase 2
2065	8.04e-01	1.49e-01	0.232	1.442577	0.334814	686.25	ERBB3	erb-b2 receptor tyrosine kinase 3
1020	8.09e-01	1.51e-01	0.266	-1.434646	-0.381815	155.7	CDK5	cyclin dependent kinase 5
26020	8.09e-01	1.51e-01	0.165	-1.436289	-0.236883	784.27	LRP10	LDL receptor related protein 10
6772	8.14e-01	1.54e-01	0.231	1.427255	0.330316	286.08	STAT1	signal transducer and activator of transcription 1
4069	8.14e-01	1.54e-01	0.571	1.426556	0.814249	4726.93	LYZ	lysozyme
4850	8.17e-01	1.55e-01	0.227	1.422042	0.322214	381.01	CNOT4	CCR4-NOT transcription complex subunit 4
39	8.18e-01	1.56e-01	0.205	1.418992	0.291375	1487.63	ACAT2	acetyl-CoA acetyltransferase 2
335	8.23e-01	1.58e-01	0.205	-1.41091	-0.288907	40074.44	APOA1	apolipoprotein A1
104326055	8.23e-01	1.58e-01	0.205	-1.41091	-0.288907	40074.44	APOA1-AS	APOA1 antisense RNA
23142	8.27e-01	1.60e-01	0.21	1.406048	0.295404	352.47	DCUN1D4	defective in cullin neddylation 1 domain containing 4
445	8.34e-01	1.63e-01	0.194	-1.396647	-0.271431	2020.28	ASS1	argininosuccinate synthase 1
51338	8.34e-01	1.62e-01	0.28	-1.398498	-0.391297	257.25	MS4A4A	membrane spanning 4-domains A4A
65018	8.40e-01	1.65e-01	0.151	-1.387727	-0.208928	2084.53	PINK1	PTEN induced kinase 1
7048	8.40e-01	1.65e-01	0.182	-1.388182	-0.253133	679.94	TGFBR2	transforming growth factor beta receptor 2
6822	8.41e-01	1.67e-01	0.276	-1.382638	-0.381934	5191.98	SULT2A1	sulfotransferase family 2A member 1
351	8.41e-01	1.66e-01	0.245	1.384426	0.339266	2062.59	APP	amyloid beta precursor protein
29095	8.62e-01	1.72e-01	0.201	1.366764	0.274589	595.03	ORMDL2	ORMDL sphingolipid biosynthesis regulator 2
2730	8.85e-01	1.77e-01	0.263	-1.350206	-0.355048	2355.49	GCLM	glutamate-cysteine ligase modifier subunit
7422	8.86e-01	1.78e-01	0.179	1.346985	0.241783	1165.42	VEGFA	vascular endothelial growth factor A
1314	8.89e-01	1.83e-01	0.206	-1.33156	-0.2746	327.19	COPA	COPI coat complex subunit alpha
8804	8.89e-01	1.91e-01	0.246	-1.306521	-0.321901	1236.86	CREG1	cellular repressor of E1A stimulated genes 1
645745	8.89e-01	1.93e-01	0.26	-1.301967	-0.338655	388.09	MT1HL1	metallothionein 1H like 1
7384	8.89e-01	1.89e-01	0.172	-1.314722	-0.226213	2350.7	UQCRC1	ubiquinol-cytochrome c reductase core protein 1
2771	8.89e-01	1.97e-01	0.163	-1.29155	-0.210299	672.78	GNAI2	G protein subunit alpha i2
6507	8.89e-01	1.88e-01	0.297	1.316231	0.390618	282.07	SLC1A3	solute carrier family 1 member 3
1616	8.89e-01	1.91e-01	0.256	1.30784	0.33454	861.99	DAXX	death domain associated protein
